NAME,Full Description
HelloFresh,"Meal kit subscription service that focuses on premium quality and ecological food HelloFresh is a food subscription company that sends pre-portioned ingredients to usersí doorstep each week. It enables anyone to cook quick and healthy meals designed by nutritionists and chefs. HelloFresh aims to provide each and every household in its 10 markets with the opportunity to enjoy wholesome home-cooked meals with no planning, no shopping, and no hassle required.  Their subscription business model with regular delivery enables them to fundamentally change the way consumers shop for food and to develop new ways people prepare and consume meals, changing the traditional food supply chain. HelloFresh is at the forefront of disrupting a multitrillion dollar industry at the very beginning of its online transition."
Zalando,Europeís leading online platform for fashion and lifestyle
Foodpanda,A global online food delivery marketplace
SumUp,"A leading financial technology company, operating across 34 markets on three continents SumUp is a financial technology company that enables businesses to accept card payments at the Point-of-Sale or on the go in a simple, secure, and cost-effective way.  It offers an end-to-end EMV card acceptance solution built on proprietary hardware and mobile apps. This unique offering enabled SumUp to rapidly expand into 16 markets, including the U.S., Brazil, and Germany, making it the mPOS company with the largest global footprint. The company has gone on to develop a full suite of SDKs and APIs for third parties to integrate card payments into their mobile apps. SumUp has been backed by renowned investors, including Groupon, BBVA Ventures, Holtzbrinck Ventures, and American Express. In April 2016 SumUp has merged with the mPOS company payleven to create the global leader in mobile payment. The London, England-based fintech company was established by Stefan Jeschonnek, Marc-Alexander Christ, Daniel Klein, Petter Made, and Jan Deepen in 2011."
Dafitigroup,
Zalora Group,"One of the leading online shops for shoes and fashion in South-East Asia ZALORA is an e-commerce platform and website that provides fashion and footwear products. It provides users with clothing and footwear from fashion labels such as Mango, Nike, Puma, Casio, Calvin Klein, Levi's, and more. Users can view images of their desired fashion product and purchase it online. It also provides users with fashion tips and advice. In addition, it offers users with an online magazine and discounts. ZALORA received $112 million private equity on December 3, 2013. It was launched in March 2012, based in Ho Chi Minh City, Vietnam."
Dafiti,"Leading Brazilian online shops for shoes, fashion and accessories."
Flink,"High quality and organic groceries, delivered to your door in 10 minutes"
Enpal,"Germany's online solar provider Enpal is a photovoltaics leasing firm that provides solar power systems. Its product already enables customers to reduce their electricity expenditure through a solar system and a green all-inclusive energy solution.  The company was founded in 2017 by Jochen Ziervogel, Mario Kohle, and Viktor Wingert. It is based in Berlin, Germany."
Flix SE,Smart and green mobility for everyone to experience the world
FuXion,True Health through Nutraceutical Fusion
Foodora,"Delivers food from premium restaurants foodora was launched in Germany in October 2014, backed by Rocket Internet in April 2015 and merged with Delivery Hero in September 2015. The on-demand delivery service currently connects high-quality restaurants and foodies in 10 countries and is changing the way food delivery is viewed and experienced globally."
Emma,"Emma - The Sleep Company | Innovation in sleep technology Emma & Noah is focusing on producing baby products like sleeping bags , crawling mats, burp cloths, basic equipment, baby blankets, cozy blankets, swaddles and hooded towels.They have been focusing to deliver unique and individual designs."
Atheneum,"Connecting clients with the worldís most relevant experts, for business decision support Atheneum is a B2B Research Technology connecting investment funds, consulting firms, and corporations with the worldís experts. Through its proprietary machine-learning software and cloud-based insights platform, ""Athena One"", Atheneum provides rapid responses and on-demand access to global intelligence for understanding cutting edge industry trends and the critical in-depth market information needed to drive business expansion, operational excellence, and product innovation.  Founded in 2010 in Berlin, Germany, Atheneum's founding management team, Mathias Wengeler, Ammad Ahmad, and Marta Margolis, have spearheaded its global growth across 11 offices including London, Munich, and Shanghai, with U.S. headquarters in New York."
Snappfood,"Snappfood is the leading online food ordering company in Iran. Our customers can find menus, order and be delivered from more than 30,000 restaurants all over Iran through the Snappfood website and mobile application"
Global Savings Group,"Europe's leading shopping rewards company that empowers people to shop in a smarter way with its comprehensive portfolio of consumer engagement platforms and savings brands The Global Savings Group (GSG) is Europe's leading shopping rewards company that empowers people to shop in a smarter way.  With its comprehensive portfolio of consumer engagement platforms and savings brands, GSG provides people access to exclusive savings, deals, product information, reviews, and discovery from their favorite stores and brands.  GSGís team of over 500 professionals in 20 plus markets across the globe, an advanced technology stack, and close, lasting partnerships with the worldís leading news publishers enables it to help consumers to save on more than 2 million transactions every month. Founded in 2012 and headquartered in Munich, GSG increases customer loyalty and drives engagement for the worldís largest advertising brands, while assisting yearly more than 350 million shoppers to make smarter purchasing decisions."
Flaschenpost,An online platform to order drinks and have them conveniently delivered to your home Lebensmittel & Getr‰nke online bestellen ? Lieferung in 120 Min. ? Umfangreiches Sortiment ? Einfache Pfandr¸cknahme
Lingoda GmbH,Provides convenient and accessible online language courses
Forto,"Stands for groundbreaking, scalable, digital logistics technology and services that go beyond transportation from point A to point B Forto was founded in Berlin in 2016 under the name FreightHub by Erik Muttersbach and Michael Wax. The company develops groundbreaking, scalable, digital logistics technology and services that go beyond transportation from point A to point B. The easy to use and intuitive platform allows their customers to optimize and, therefore, own their entire global supply chain processes.  With over 2,000 customers and 9 global offices, Forto currently employs 200+ people. They are passionate about global trade, and aim to increase global prosperity while driving sustainability. Forto is a brand of FreightHub GmbH."
BurdaForward,"Digital publishing house BurdaForward is a media house of solutions. Their coverage not only identifies problems, but always shows ways to improve things in society and everyday life. They aim to support the people in Germany to lead a better life by providing solution-oriented content. In order to help with their companyís purpose they invest a great deal in the future. Using the latest technology and artificial intelligence, they are already shaping the media of tomorrow today."
McMakler,
