Company name Latin alphabet,NACE Rev. 2 main section,NACE_Section,Founded_Year,Company_Age,Status,Number of employees 2024,Number of employees 2023,Number of employees 2022,Number of employees 2021,Number of employees 2020,Number of employees 2019,Emp_Growth,max_employees,Scaler 2024,Scaler 2023,Gazelle 2024,Gazelle 2023,HighGrowthFirm 2024,aagr 2024,Legal_Form,B2B_or_B2C,Industry,Company_Description,Key_Activities,Scaler_2024,Gazelle_2024
ARCELORMITTAL BREMEN GMBH,C - Manufacturing,C,1967,57,Active,2784,2746.0,2674.0,2502,2635.0,2683.0,0.037644427879239654,2790.0,0,0.0,0.0,0.0,0,3.624069038057542,GmbH,B2B,steel,"ArcelorMittal Bremen is a steelworks on the banks of the River Weser in Bremen, Germany. ArcelorMittal Bremen An ironworks was established on the site in 1911.","ArcelorMittal Bremen steel plant operates blast furnace (BF), basic oxygen furnace (BOF), direct reduced iron (DRI), and electric.",0,0
BREMER LAGERHAUS-GESELLSCHAFT - AKTIENGESELLSCHAFT VON 1877,H - Transportation and storage,H,1877,147,Active,11119,11487.0,11492.0,11952,11609.0,11720.0,-0.05127986348122867,11952.0,0,0.0,0.0,0.0,0,-2.379345458376525,AG,B2B,Logistics,BREMER LAGERHAUS-GESELLSCHAFT AG von 1877 is a Germany-based company. The Company is a provider services in the logistics industry.,"The Company operates in three segments: Automobile, Contract and Container.",0,0
ROEHLIG LOGISTICS GMBH & CO. KG,"M - Professional, scientific and technical activities",M,1852,172,Active,2132,2091.0,1931.0,1697,1669.0,1789.0,0.1917272219116825,2132.0,0,0.0,0.0,0.0,0,7.903397508827648,GmbH & Co. KG,B2B,Logistics,"Röhlig Logistics is a logistics company specializing in sea freight, air freight, and contract logistics. Founded in 1852 in Bremen, Germany, the family-owned business has over 150 offices in over 35 countries on all continents.","sea freight, air freight, project logistics, contract logistics, customs services",0,0
GEWOBA AKTIENGESELLSCHAFT WOHNEN UND BAUEN,L - Real estate activities,L,1935,89,Active,514,516.0,513.0,504,490.0,488.0,0.05327868852459016,516.0,0,0.0,0.0,0.0,0,0.6570490713229793,AG,B2C,Real estate services,"GEWOBA Aktiengesellschaft Wohnen und Bauen provides real estate services, offering commercial and residential properties on rental basis, as well as property management, acquisition, and development of properties.","The company manages and provides a diverse portfolio of rental real estate apartments and properties, with around 43,000 flats, making it the largest housing provider in Bremen.",0,0
SLOMAN NEPTUN SCHIFFAHRTS AG,H - Transportation and storage,H,1873,151,Active,394,412.0,414.0,469,494.0,486.0,-0.18930041152263374,494.0,0,0.0,0.0,0.0,0,-5.64292715285174,Other,B2B,Shipping,"SLOMAN NEPTUN Schiffahrts-AG is a medium-sized shipping company based in Bremen, Germany, operating a diversified fleet of gas tankers, oil/chemical tankers, and dry cargo vessels.","The company offers gas transportation services, liner services, and port agency services in Germany, with a focus on shipping and related maritime activities.",0,0
W. TIEMANN GMBH & CO. KG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1905,119,Active,453,454.0,417.0,427,434.0,439.0,0.03189066059225513,454.0,0,0.0,0.0,0.0,0,1.989808341639687,GmbH & Co. KG,B2B,Not found,"W. Tiemann GmbH & Co. KG deals with commercial vehicles. The Company offers purchase, advice, renting, spareparts, and related services.","commercial vehicles, purchase, advice, renting, spareparts",0,0
SAACKE GMBH,"M - Professional, scientific and technical activities",M,1951,73,Active,441,419.0,451.0,517,569.0,536.0,-0.17723880597014927,569.0,0,0.0,0.0,0.0,0,-5.161935496749059,GmbH,B2B,Other engineering activities and related technical consultancy,"SAACKE GmbH is a company specializing in combustion technology and global responsibility, planning, developing, and manufacturing burners and system solutions for industrial thermal processes.","The company provides burners and system solutions for industrial thermal processes, and operates in the industrial and maritime energy management sector.",0,0
NORDSEE NASSBAGGER-UND TIEFBAU-GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,F - Construction,F,1968,56,Active,74,74.0,75.0,19,17.0,16.0,3.625,75.0,1,1.0,0.0,0.0,1,57.33525182834596,GmbH,B2B,Construction of water projects,Nordsee Nassbagger- und Tiefbau GmbH was founded in 1968 and has gained experience in dredging over more than four decades.,"Execution of dredging, water construction and civil engineering works of all kinds in Germany and abroad and the execution of related auxiliary and ancillary businesses. The company offers flexible solutions in the fields of foundation, cable, turbine and substation installation and maintenance activities.",1,0
SWB AG,K - Financial and insurance activities,K,1941,83,Active,274,277.0,278.0,283,294.0,295.0,-0.0711864406779661,295.0,0,0.0,0.0,0.0,0,-1.071511022074356,AG,B2C,utilities,"swb AG provides utilities services in energy, water, public transport, and waste management. The Company delivers waste management and recycling, supplies electricity, natural gas, drinking water, and district heating, and operates bus and rail services.","electricity, natural gas, drinking water, district heating, waste management and recycling, bus and rail services",0,0
WFB WIRTSCHAFTSFOERDERUNG BREMEN GMBH,O - Public administration and defence; compulsory social security,O,1924,100,Active,441,456.0,416.0,385,360.0,336.0,0.3125,456.0,0,0.0,0.0,0.0,0,4.63073753753267,GmbH,B2B,economic development,"WFB Wirtschaftsförderung Bremen GmbH (WFB Bremen  Economic Development) offers services in funding programmes, innovation consulting, real estate and properties, trade shows and events, settlement advice, support in obtaining EU and German federal assistance, contacts to networks, location information on all aspects of business and living in Bremen and Bremerhaven.","funding programmes, innovation consulting, real estate and properties, trade shows and events, settlement advice, support in obtaining EU and German federal assistance, contacts to networks, location information on all aspects of business and living in Bremen and Bremerhaven",0,0
BREBAU GMBH,L - Real estate activities,L,1938,86,Active,137,132.0,132.0,132,89.0,118.0,0.16101694915254236,137.0,0,1.0,0.0,0.0,0,1.247011253667774,GmbH,B2C,Housing construction,"BREBAU GmbH is a Bremen-based company specializing in residential construction and is a wholly owned subsidiary of the City of Bremen. Over some 80 years, BREBAU GmbH has built around 10,500 homes in almost all areas of Bremen and its surroundings.","The management and sale of all types of land, the development, planning and construction of buildings of any kind in their own and foreign name, sale, rental, and management of properties.",0,0
GEWOSIE WOHNUNGSBAUGENOSSENSCHAFT BREMEN-NORD E.G.,L - Real estate activities,L,1894,130,Active,35,33.0,32.0,31,32.0,34.0,0.029411764705882353,35.0,0,0.0,0.0,0.0,0,4.128301283656044,e.G.,B2C,Real Estate Services,"GEWOSIE Wohnungsbaugenossenschaft Bremen-Nord e.G. is a housing cooperative located in Bremen, Germany, managing and administering around 4,150 own rental apartments.","The company offers residential rentals, assisted living options, guest apartments, property maintenance, and repair services.",0,0
